회사명,제목,링크,지역,경력,학력,고용형태,마감일,직무분야,연봉정보,크롤링_시간
(주)투비파트너즈,데이터 분석가,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49507319&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 서초구,경력 6~12년,대졸↑,정규직,~ 12/17(화),"데이터분석가, 솔루션, Python, R, 헤드헌팅 등록일 24/12/02",IT개발·데이터 지원 급상승,2024-12-08 20:14:03.549495
(주)로앤컴퍼니,[로앤컴퍼니] 데이터분석팀 채용(시니어),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49311482&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 강남구,경력 6~10년,학력무관,정규직,채용시,"데이터분석가, 인프라, DW, GCP, R 외                    등록일 24/10/31",시리즈C 투자유치,2024-12-08 20:14:03.551078
(주)스카우트파트너스,CRM 담당(데이터분석.고객생애주기.캠페인설계.SQL.3-12)대기업,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49500179&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 강남구,경력 3~14년,대졸↑,정규직,~ 12/30(월),"데이터엔지니어, 데이터분석가, 데이터분석, 데이터마이닝, 빅데이터 외                    수정일 24/12/05",성과급/상여금,2024-12-08 20:14:03.552570
(주)리앤파트너,[국내최대 가상자산거래소기업] 데이터 분석 개발자  (정규직),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49533317&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 서초구,경력4년↑,대졸↑,정규직,~ 01/04(토),"데이터엔지니어, 데이터분석가, 클라우드, SE(시스템엔지니어), DW 외                    등록일 24/12/05",자유로운 연차,2024-12-08 20:14:03.554003
(주)스카우트파트너스,데이터분석가 (생애주기.온오프.CRM캠페인솔루션) 유통 대기업,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49546059&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 강남구,경력 5~14년,대졸↑,정규직,~ 01/06(월),"데이터엔지니어, 데이터분석가, 데이터분석, 데이터마이닝, 빅데이터 외                    등록일 24/12/07",성과급/상여금,2024-12-08 20:14:03.555451
(주)메타써치,메이저 가상자산 거래소 데이터 분석 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49487375&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 강남구,경력 4~12년,대졸↑,정규직,~ 12/28(토),"데이터엔지니어, 클라우드, API, IaaS, PaaS 외                    등록일 24/11/28",,2024-12-08 20:14:03.557084
(주)메타써치,메이저 가상자산 거래소 고객 데이터 분석 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49487402&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 강남구,경력 3~7년,대졸↑,정규직,~ 12/28(토),"데이터분석가, 데이터 사이언티스트, 블록체인, 암호화폐, 헤드헌팅 등록일 24/11/28",,2024-12-08 20:14:03.558860
(주)메타써치,메이저 가상자산 거래소 비즈니스 데이터 분석 담당 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49487312&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 강남구,경력 5~12년,대졸↑,정규직,~ 12/28(토),"데이터분석가, 데이터 사이언티스트, SQL, 헤드헌팅 등록일 24/11/28",,2024-12-08 20:14:03.560394
스텝업파트너스주식회사,[글로벌 모바일게임 기업] 데이터 분석가,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49458118&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 강남구,경력 2~5년,대졸↑,정규직,~ 12/23(월),"데이터분석가, Spark, 헤드헌팅 수정일 24/11/23",,2024-12-08 20:14:03.561939
(주)에이치투비즈,(주)에이치투비즈 데이터분석가(사업팀) 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49526397&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 강서구,경력3년↑,초대졸↑,정규직,~ 02/02(일),"데이터분석가, 데이터분석, 소프트웨어개발 수정일 24/12/05",급성장중,2024-12-08 20:14:03.563393
