회사명,제목,링크,지역,경력,학력,고용형태,마감일,직무분야,연봉정보,크롤링_시간
넛지헬스케어(주),[넛지헬스케어] 데이터분석가 - 석사/박사,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49332193&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 강남구,경력무관,석사↑,정규직,~ 01/03(금),"데이터엔지니어, 데이터분석가, 데이터분석, 데이터시각화, 데이터마이닝 외                    수정일 24/11/13",급성장중,2024-12-08 20:14:01.519043
(주)컬리,[컬리] BI팀 데이터 분석가 (Data Analyst),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49351457&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 강남구,경력3년↑,학력무관,정규직,채용시,"데이터분석가, R, 판매 등록일 24/11/06","2,000억 이상 투자유치",2024-12-08 20:14:01.520628
넛지헬스케어(주),[캐시워크] 데이터분석 담당 (석사/박사),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49418589&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 강남구,신입·경력,석사↑,정규직,~ 12/17(화),"데이터분석가, 데이터시각화, 데이터마이닝, 빅데이터, Python 외                    등록일 24/11/18",취업축하금,2024-12-08 20:14:01.522360
넛지헬스케어(주),[병역특례] 데이터분석 담당 산업기능요원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49418977&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 강남구,신입·경력,학력무관,정규직,~ 12/17(화),"데이터분석가, 데이터시각화, 데이터마이닝, 빅데이터, Python 외                    등록일 24/11/18",취업축하금,2024-12-08 20:14:01.524184
(주)컬리,[컬리] 온사이트 프로모션 데이터 분석,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49455771&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 강남구,경력4년↓,대졸↑,정규직,채용시,"상품분석, 이커머스, 마케팅, 세일즈프로모션, 유통업 수정일 24/11/26","2,000억 이상 투자유치",2024-12-08 20:14:01.526052
호전실업(주),"데이터 분석, AI엔지니어 채용 (4~7년)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49528482&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 마포구,경력 4~7년,대졸↑,정규직,~ 01/03(금),"데이터엔지니어, 데이터분석가, 데이터시각화, 데이터마이닝, RDBMS 외                    등록일 24/12/04",취업축하금,2024-12-08 20:14:01.527675
호전실업(주),"데이터 분석, AI엔지니어 채용 (8~10년)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49528486&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 마포구,경력 8~10년,대졸↑,정규직,~ 01/03(금),"데이터엔지니어, 데이터분석가, 데이터시각화, 데이터마이닝, RDBMS 외                    등록일 24/12/04",취업축하금,2024-12-08 20:14:01.529155
(주)엠포스,[엠포스] 데이터 분석가 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49539376&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 서초구,경력2년↑,초대졸↑,정규직,~ 01/05(일),"데이터분석가, 데이터분석, 솔루션, Python, SQL 외                    등록일 24/12/06",급성장중,2024-12-08 20:14:01.530767
(주)트리플하이엠,[연구소] 온라인 마케팅 데이터 분석 및 설계 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49464953&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 금천구,경력2년↑,대졸↑,정규직,~ 12/25(수),"데이터분석, 데이터시각화, 데이터마이닝, 데이터라벨링, 솔루션 외                    수정일 24/11/25",자유로운 연차,2024-12-08 20:14:01.532416
(주)모비릭스,[모비릭스] 게임DATA팀 데이터 분석 경력직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49480555&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 금천구,경력1년↑,학력무관,정규직·계약직,채용시,"데이터분석가, 데이터분석, Python, 모델링, 게임개발 외                    등록일 24/11/27",연봉상승률 30% 이상,2024-12-08 20:14:01.533968
트리노드(주),[서울/경력 2년 이상] 데이터분석팀 - 게임 데이터 분석가,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49347261&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 강남구,경력2년↑,학력무관,정규직,채용시,"데이터분석가, 데이터시각화, 데이터마이닝, RDBMS, Python 외                    수정일 24/11/29",연봉상승률 10% 이상,2024-12-08 20:14:01.535340
(주)네오위즈,[네오위즈] AI 연구원 - 데이터 분석 (전문연구요원),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49486275&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,경기 성남시 분당구,경력3년↑,석사↑,정규직,~ 12/16(월),"Python, 클라우드, AWS, 딥러닝, 머신러닝 외                    등록일 24/11/28",평균연봉 상위 10%,2024-12-08 20:14:01.536965
씨앤토트(주),데이터 분석 및 시각화 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49487860&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 서초구,경력3년↑,고졸↑,정규직,~ 12/30(월),"데이터엔지니어, 데이터분석가, 데이터분석, 데이터시각화, 클라우드 외                    수정일 24/11/30",IT개발·데이터 지원 급상승,2024-12-08 20:14:01.539066
(주)피엠그로우,[피엠그로우] 데이터 분석가 채용 (전기차 배터리),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535080&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 서초구,경력 2~5년,대졸↑,정규직,~ 01/04(토),"데이터엔지니어, 데이터분석가, 데이터시각화, 데이터 사이언티스트, 빅데이터 외                    등록일 24/12/05",IT개발·데이터 스크랩 급상승,2024-12-08 20:14:01.540817
콘센트릭스서비스코리아(유),GA/AA 데이터분석,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49281028&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 강남구,경력 1~11년,학력무관,정규직,~ 12/27(금),"데이터분석가, 데이터분석, 빅데이터, 솔루션, 마케팅 외                    수정일 24/11/28",,2024-12-08 20:14:01.553766
(주)데이터누리,[데이터누리] 데이터 분석가를 모십니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49257728&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 강서구,경력5년↑,학력무관,정규직,채용시,"데이터분석가, Python, Java, SQL, 모델링 외                    수정일 24/11/18",IT개발·데이터 조회 급상승,2024-12-08 20:14:01.555760
(주)콤위즈,이동전화 빅데이터 분석업무 및 품질관리 정규직채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49509859&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 중구,신입·경력,초대졸↑,정규직,~ 01/01(수),"빅데이터, 정보통신, 통신, 텔레콤, 무선통신 등록일 24/12/02",IT개발·데이터 스크랩 급상승,2024-12-08 20:14:01.557521
한패스(주),[한패스(주)/데이터분석팀] 데이터분석가(Data Analyst) 담당자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49520200&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 성동구,경력 3~20년,대졸↑,정규직,~ 01/02(목),"데이터분석가, Python, 네트워크, 핀테크, ETL 외                    등록일 24/12/03",시리즈B 투자유치,2024-12-08 20:14:01.559260
(주)해양정보기술,수치모델링/빅데이터분석 및 딥러닝 부문채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49385496&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 금천구,경력무관,대졸↑,정규직,~ 12/12(목),"빅데이터, Python, 딥러닝, C++, 모델링 외                    등록일 24/11/12",유연근무제,2024-12-08 20:14:01.560915
(주)썸에이지,[썸에이지] 데이터 분석 담당자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49512343&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,경기 성남시 분당구,경력1년↑,학력무관,정규직,채용시,"데이터엔지니어, 데이터분석가, 빅데이터, Python, MySQL 외                    수정일 24/12/02",스타트업,2024-12-08 20:14:01.562320
(주)메디에이지,[헬스케어] 보건의료통계 및 데이터 분석 전문가 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49393946&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,경기 성남시 수정구,경력3년↑,대졸↑,정규직,~ 12/13(금),"데이터분석가, 데이터분석, 빅데이터, Python, 알고리즘 외                    수정일 24/11/13",시리즈A 투자유치,2024-12-08 20:14:01.563946
(주)가치의발견,[데이터분석] AI 데이터 분류(레이블링) 사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49529650&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,경기 고양시 일산서구,경력무관,학력무관,정규직·계약직,~ 12/31(화),"데이터분석, 디지털마케팅, SI·시스템통합, 시스템관리, 소프트웨어개발 등록일 24/12/04",급성장중,2024-12-08 20:14:01.565589
(사)한국컨설팅산업협회,데이터 분석 부문 컨설턴트 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49281948&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 강남구,경력10년↑,대졸↑,정규직·계약직,~ 12/27(금),"빅데이터, Python, 네트워크, 머신러닝, IT컨설팅 외                    수정일 24/11/28",급성장중,2024-12-08 20:14:01.567213
(주)에임드,[UA팀] 모바일게임 데이터 분석가 (주니어),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49470513&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=7faeb57c-27ec-48df-96b7-df1410b7063e,서울 서초구,경력1년↑,학력무관,정규직,~ 12/31(화),"데이터분석가, 데이터 사이언티스트, 마케팅, 시장조사, 시장조사 외                    등록일 24/11/26",시리즈A 투자유치,2024-12-08 20:14:01.568876
